,results
934,"Sentence[46]: ""Job Description   Patient Account Representative  1705030349  Patient Account RepresentativeDescription Conifer Health Solutions is a leading healthcare business process management services provider working to improve operational performance for more than 600 clients so they can support financial improvement  enhance the patient experience  and drive value based performance"" → [""healthcare""/In-SK, ""business""/In-SK, ""process""/In-SK, ""management""/In-SK]"
935,"Sentence[168]: ""Notifies appropriate insurance personnel to pre certify surgeries or tests ordered by the physician or other health care provider  which require pre certification by the insurance company Answering office phones  assisting front desk in scheduling appointments and directing calls appropriately Assists in checking out patients and assists them with referral processing and scheduling processAssist in other functions of the physician practice as needed Qualifications Education  High school diploma/GED required with completion of an accredited Medical Assisting Program Certification  Medical Assistant and CPR certification Experience  Must have a minimum of one year of experience working in a physician officeOther Requirements  NonePerformance Requirements Knowledge Basic understanding of medical terminology Knowledge of medical office procedures and process Knowledge of clinical equipment  supplies  and instruments Understanding of documentation required for physician office visits Knowledge of the purposes  organization  and policies of the local community s health systems sufficient to interact with other health care providers Knowledge of the policies and procedures of a clinic sufficient to provide effective patient care"" → [""insurance""/In-SK, ""insurance""/In-SK, ""office""/In-SK, ""directing""/In-SK, ""processing""/In-SK, ""Education""/In-SK, ""office""/In-SK, ""procedures""/In-SK, ""documentation""/In-SK, ""procedures""/In-SK]"
936,"Sentence[144]: ""Abilities Ability to obtain vital signs and record them correctly Ability to use medical equipment  supplies and instruments Ability to understand and carry out written  oral and/or graphic instructions Ability to multi task  manage details and organize efficiently and effectively Ability to read  interpret  and apply policies and procedures Ability to set priorities among multiple requests Ability to interact with patients  medical and administrative staff  and the public effectively Ability to use EMR  other relevant computer hardware and software  telephone  copier  fax machine and other standard medical office equipment Job Phlebotomy/Blood/Medical AsstPrimary Location TN MemphisHospital/Facility Saint Francis Medical PartnersJob Type PT2YShift Type DaysJob Number 1705040820JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""requests""/In-SK, ""EMR""/In-SK, ""computer""/In-SK, ""hardware""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
937,"Sentence[162]: ""Francis Medical Partners  Memphis TNPRNGeneral Summary  A non exempt medical office position responsible for providing direct nursing care in a medical office setting under the direction of a physician  assists medical providers  and maintains a clean and safe environment in accordance with the policies and procedures of the practice Essential Job Responsibilities  Adheres to and supports the mission  purpose  philosophy  objectives  policies  and procedures of Tenet Physician Resources Adheres to the Tenet HIPAA Compliance Plan and the Privacy Standards Confidentiality Agreement Demonstrates support for the Tenet Corporate Compliance Program by being knowledgeable of compliance responsibilities as expressed in the Code of Conduct  adhering to federal and state laws  rules  regulations  and corporate policies and procedures policies that affect his/her specific job functions/responsibilities  and reporting compliance issues/concerns in a timely and appropriate manner Assists in the assessment of patient needs and health plan by taking vital signs  history  medication listing  assessing visual acuity and determining chief complaint"" → [""Confidentiality""/In-SK, ""reporting""/In-SK, ""assessing""/In-SK]"
938,"Sentence[118]: ""dishroom and trayline registry rotating shiftsDescription Reporting to the Manager of Food and Nutrition Services and working under general supervision performs routine duties associated with the preparation  service and delivery of food for the hospital patients  employees and visitors  Qualifications Basic skills in reading  writing and arithmetic Thirty  30  to sixty  60  days of experience in order to learn proper procedures at all work stations The interpersonal skills necessary to effectively communicate with patients and employees when delivering trays or serving food in the cafeteria Ability to read and comprehend patient menus  recipes and task descriptions The physical ability necessary for constant standing and walking and frequent lifting between twenty five  25  and fifty  50  pounds in weight"" → [""Reporting""/In-SK, ""skills""/In-SK, ""writing""/In-SK, ""skills""/In-SK]"
939,"Sentence[51]: ""Job Food Service/Preparation/DietaryPrimary Location IL BerwynHospital/Facility MacNeal HospitalJob Type PT2YShift Type RotateJob Number 1705029526JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
940,"Sentence[110]: ""Job Description   RN   Labor and Delivery   FT Days  1705035515  RN   Labor and Delivery   FT DaysDescription Reporting to the Director of Patient Care Services/ShiftManager  the Registered Nurse is responsible for planning  directing coordinating and providing high quality individualized patient care using thecomponents of the nursing process Qualifications CA RN licenseBLS2 years L D experienceJob Obstetric/Women Wing/Labor   DeliveryPrimary Location CA ModestoHospital/Facility Doctors Medical Center of ModestoJob Type Full timeShift Type DaysJob Number 1705035515JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Reporting""/In-SK, ""planning""/In-SK, ""directing""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
941,"Sentence[31]: ""Job Description   RN ICU 48HRS PT NIGHTS  1705037114  RN ICU 48HRS PT NIGHTSDescription JOB SUMMARY  Provides direct nursing care in accordance with established policies  procedures and protocols of the healthcare organization"" → [""healthcare""/In-SK]"
942,"Sentence[40]: ""Joseph s HospitalJob Type PT2YShift Type NightsJob Number 1705037114JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
943,"Sentence[91]: ""Ability to use computer driven patient careequipment Bilingual  fluent in English/Spanish preferredMaintains anddemonstrates appropriate skills and competencies associated with CertifiedNursing Assistant and HUC duties Physical ability toassist with patient transfers to and from unit Job Nursing Assistants and PCAPrimary Location TX El PasoHospital/Facility The Hospitals of Providence Transmountain CampusJob Type Full timeShift Type DaysJob Number 1705041130JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""English""/In-SK, ""skills""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
944,"Sentence[36]: ""Job Description   MULTI SKILLED TECH EMERGENCY DEPT FT DAYS AT THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS  1705041130  MULTI SKILLED TECH EMERGENCY DEPT FT DAYS AT THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUSDescription MULTI SKILLED C N A"" → [""C""/In-SK]"
945,"Sentence[83]: ""The multi skilledCNA/HUC will also perform clerical/HUC duties such as answering phones entering orders and general administrative support duties when not assistingwith activities of daily living for the patient Qualifications MinimumEducationHighSchool Diploma/ GEDRequired Licenses/CertificationsCompletionof Nursing Assistant Course  Preferred CurrentBLS for health care providers RequiredSkills  Knowledge  and AbilitiesPrior basic experienceperforming clerical or customer service duties  with prior HUC training/experiencein a clinical setting preferred Proficient in MSWindows based applications  primarily MS Word  MS Excel  MS Outlook"" → [""customer""/In-SK, ""service""/In-SK, ""training""/In-SK, ""Excel""/In-SK]"
946,"Sentence[77]: ""Explain and enroll patients in the patient portal Qualifications Required  High school diploma/GED Preferred  Completion of medical office assistant programRequired  Must have 2 years of experience Job Admitting/RegistrationPrimary Location AL BirminghamHospital/Facility Talladega MarketJob Type Full timeShift Type DaysJob Number 1705040723JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
947,"Sentence[168]: ""Francis Hospital   BartlettDescription We are seeking an experienced CNA for a busy 40 bed inpatient acute care unit Will be scheduled forthree  3  12 hour Day shifts each week including rotating weekend shifts   Hospital CNA experience is preferredfor this position   Under the supervision of AreaManager  performs various patient care activities and related non professionalservice  Cares for the personal needs and comfort of the patients asdirected by the nurse Qualifications Education  High school diploma or equivalent Experience  At least 3 months experience as a CNA  but candidates with12 or more months of experience will b iven priority consideration Hospital experience is strongly preferred Licensure/Certification s   Current American Heart Association BLS certificationrequired prior to start date Job Nursing Assistants and PCAPrimary Location TN BartlettHospital/Facility Saint Francis Hospital   BartlettJob Type Full timeShift Type DaysJob Number 1705041251JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Education""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
948,"Sentence[73]: ""Job Description   Patient Access Representative II   Per Diem   Carondelet St Josephs  Tucson  AZ  1705030790  Patient Access Representative II   Per Diem   Carondelet St Josephs  Tucson  AZDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health Solutions is a leading healthcare business process management services provider working to improve operational performance for more than 700 clients so they can support financial improvement  enhance the patient experience  and drive value based performance"" → [""healthcare""/In-SK, ""business""/In-SK, ""process""/In-SK, ""management""/In-SK]"
949,"Sentence[49]: ""MWWJob Patient AccessPrimary Location AZ TucsonHospital/Facility 238 Conifer   Dallas   TXJob Type PT2YShift Type DaysJob Number 1705030790JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
950,"Sentence[187]: ""Responsible for managing and directing the staff s duties to perform the following functions or processes  the month end facility close  balance sheet reconciliations  capital expenditure requisitions  capital close  cost accounting  sales   use tax filings  year end tax package  cost reporting work papers and daily reporting  Assist the Controller  CFO and administrative team in identifying possible cost savings opportunities  labor management  development of the facilities budget and forecasts  capital stewardship  and financial analysis Qualifications Bachelor s Degree  Major in Accounting or related fieldCPA and/or MBA preferredSupervisory experience preferredMinimum of three to five years accounting experience in a hospital or healthcare settingProficiency with Excel  mainframe accounting systems  adding machines and work processing Able to collaborate and work effectively with othersDetail oriented and highly organizedCritical thinking and problem solving skillsCapacity to learn and adapt to changing environmentJob Finance and AccountingPrimary Location FL Fort LauderdaleHospital/Facility Florida Medical CenterJob Type Full timeShift Type DaysJob Number 1705041191JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""managing""/In-SK, ""directing""/In-SK, ""accounting""/In-SK, ""sales""/In-SK, ""tax""/In-SK, ""tax""/In-SK, ""reporting""/In-SK, ""reporting""/In-SK, ""management""/In-SK, ""financial""/In-SK, ""analysis""/In-SK, ""Accounting""/In-SK, ""accounting""/In-SK, ""healthcare""/In-SK, ""Excel""/In-SK, ""accounting""/In-SK, ""processing""/In-SK, ""problem""/In-SK, ""solving""/In-SK, ""Finance""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
951,"Sentence[62]: ""Job Description   ASSISTANT CONTROLLER   ACCOUNTING  Full Time  1705041191  ASSISTANT CONTROLLER   ACCOUNTING  Full TimeDescription Full Time/DaysResponsible for the management  supervision  and coordination of the activities performed by th eneral accounting staff  Responsible for overseeing the recording of accounting information into th eneral and subsidiary ledgers in accordance with generally accepted accounting principles and hospital policies in an accurate and timely basis"" → [""ACCOUNTING""/In-SK, ""ACCOUNTING""/In-SK, ""management""/In-SK, ""accounting""/In-SK, ""accounting""/In-SK, ""accounting""/In-SK]"
952,"Sentence[78]: ""Requires a thorough understanding of both theoretical and practical aspects of an analytical  technical or professional discipline Professional Requirement  State of Tennessee OT license required  NBCOT CertificationCertifications  BLS certification requiredJob Occupational TherapyPrimary Location TN MemphisHospital/Facility Saint Francis Hospital   MemphisJob Type PT1Shift Type DaysJob Number 1705041012JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""analytical""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
953,"Sentence[30]: ""Responsible for evaluation of functional abilities and deficits  development of plan of care including establishment of long and short term goals based on the age specific needs of the patient"" → [""evaluation""/In-SK]"
954,"Sentence[60]: ""Acts as a mentor and provides ongoing supervision of patient care delegated to Occupational Therapy Assistants  Physical/Occupational Therapy technicians and students   The selected candidate will work 24 scheduled hours weekly  Qualifications Education  Bachelors Degree and/or Masters degree from an equivalent in depth specialized training program that is directly related to the type of work being performed"" → [""Education""/In-SK, ""training""/In-SK]"
955,"Sentence[84]: ""Job Description   DIRECTOR NURSING MEDICAL SURGICAL FULL TIME DAYS  1705041183  DIRECTOR NURSING MEDICAL SURGICAL FULL TIME DAYSDescription Responsible for the overall planning  organizing  and financial management of a unit/department  Develops and implements short and long term business plans and policies to reach established goals  Communicates with department financial and business related measurements  Hires and retains high quality of staff in key positions  Develops and manages department specific operating and capital budges and partners with Nurse professionals to manage the practice of Nursing"" → [""TIME""/In-SK, ""TIME""/In-SK, ""planning""/In-SK, ""organizing""/In-SK, ""management""/In-SK]"
956,"Sentence[123]: ""Minimum 2 years management experience Understanding of all phases of nursing care and specific managerial and leadership knowledge  Ability to apply job knowledge  principles and technical skills  while utilizing the nursing process in the delivery of safe patient care  Ability to utilize principles of Human Resource Management in dealing with staff membersExperienceMinimum two  2  years of recent  within 2 years  clinical experience in acute care setting  One year of previous supervisory experience Job Managers and DirectorsPrimary Location FL Coral GablesHospital/Facility Coral Gables HospitalJob Type Full timeShift Type DaysJob Number 1705041183JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""management""/In-SK, ""leadership""/In-SK, ""skills""/In-SK, ""Management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
957,"Sentence[39]: ""Qualifications EducationBachelors in Healthcare Administration or Business Administration or related field Required licensures/certificationsCurrent Florida Registered Nurse License Current BLS/CPRSkills and AbilitiesGood oral and written communications skills in the English language  Must demonstrate strong leadership skills"" → [""Healthcare""/In-SK, ""Administration""/In-SK, ""Administration""/In-SK, ""skills""/In-SK, ""English""/In-SK, ""leadership""/In-SK, ""skills""/In-SK]"
958,"Sentence[125]: ""Job Description   PHLEBOTOMIST   Per Diem  1705025190  PHLEBOTOMIST   Per DiemDescription Per DiemResponsible for obtaining blood specimens from patients and for the clerical function of the laboratory including maintenance of all data processing equipment  processing and distribution of patient specimens  organization of laboratory test requests  charting of laboratory reports  and communication between nursing units and the laboratory  Qualifications High school graduate or equivalentCurrent BLS CertificationOne year experience as a hospital phlebotomistPossesses clerical and computer skillsJob Phlebotomy/Blood/Medical AsstPrimary Location FL Fort LauderdaleHospital/Facility Florida Medical CenterJob Type PT2YShift Type RotateJob Number 1705025190JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""processing""/In-SK, ""processing""/In-SK, ""requests""/In-SK, ""communication""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
959,"Sentence[44]: ""Job Description   Reconciliation Representative  1705030354  Reconciliation RepresentativeDescription Conifer Health Solutions is a leading healthcare business process management services provider working to improve operational performance for more than 600 clients so they can support financial improvement  enhance the patient experience  and drive value based performance"" → [""Reconciliation""/In-SK, ""Reconciliation""/In-SK, ""healthcare""/In-SK, ""business""/In-SK, ""process""/In-SK, ""management""/In-SK]"
960,"Sentence[114]: ""Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Computer skills MS WordMS ExcelMS OutlookKnowledge of Tenet systems a plusGood interpersonal skillsStrong customer service attitude and ability to work independently as well as in a teamWell organized and attentive to detailVery strong math  analytical and problem solving skillsData entry and 10 key by touchEDUCATION / EXPERIENCEInclude minimum education  technical training  and/or experience required to perform the job High school diploma or equivalent2 3 years of account reconciliation and variance resolution experiencePHYSICAL DEMANDSThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job"" → [""skills""/In-SK, ""customer""/In-SK, ""service""/In-SK, ""attentive""/In-SK, ""analytical""/In-SK, ""problem""/In-SK, ""solving""/In-SK, ""education""/In-SK, ""training""/In-SK, ""reconciliation""/In-SK]"
961,"Sentence[68]: ""Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Office Work EnvironmentJob Finance and AccountingPrimary Location TX FriscoHospital/Facility 238 Conifer   Frisco  TXJob Type Full timeShift Type DaysJob Number 1705030354JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""Finance""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
962,"Sentence[159]: ""Through our revenue cycle management  patient communications  and value based care solutions  we empower healthcare decision makers hospitals  health systems  physicians  self insured employers  and payers to better connect every point of care and wellness management  Are you ready to be part of our solutions  Welcome to the company that gives you the resources and incentives to redefine healthcare services  with a competitive benefits package and leadership to take your career to the next step JOB SUMMARYResponsible for performing the reconciliation functions within the Reimbursement and Cash Management team in the National Payments and Adjustment Center  NPAC  ESSENTIAL DUTIES AND RESPONSIBILITIESOthers may be assigned Research and clear facility Unidentified Accounts Complete Cash and Related Reconciliations according to established guidelines  forward to facility accounting / scan into VIWeb Research and resolve reconciliation variances  review Unmatched EFT Report Special projects as assigned Qualifications KNOWLEDGE  SKILLS  ABILITIESTo perform this job successfully  an individual must be able to perform each essential duty satisfactorily"" → [""management""/In-SK, ""healthcare""/In-SK, ""management""/In-SK, ""healthcare""/In-SK, ""leadership""/In-SK, ""reconciliation""/In-SK, ""Cash""/In-SK, ""Management""/In-SK, ""Research""/In-SK, ""Cash""/In-SK, ""accounting""/In-SK, ""Research""/In-SK, ""reconciliation""/In-SK, ""SKILLS""/In-SK]"
963,"Sentence[57]: ""Previous PACU experience preferredJob Surgical ServicesPrimary Location CA Fountain ValleyHospital/Facility Fountain Valley Regional Hospital and Medical CenterJob Type Full timeShift Type DaysJob Number 1705033602JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
964,"Sentence[65]: ""Job Description   RN PACU FT Days  1705033602  RN PACU FT DaysDescription The Registered Professional Nurse is responsible for the delivery of patient care  utilizing the nursing process for assessment  planning  implementation and evaluation while meeting competently all safe expectations of a nurse Qualifications Current CA RN license Current BLS   ACLS Current Critical Care or Telemetry course preferred or equivalent knowledge and skills validated by demonstration"" → [""planning""/In-SK, ""evaluation""/In-SK, ""skills""/In-SK]"
965,"Sentence[123]: ""The position is responsible for answering and distributingcalls/messages  scheduling patients and verifying current patient demographics The position has the responsibility to provide excellent service to patients their families  physician office staff  hospital personnel and related outsideagencies Qualifications  1  year in an acute care admitting/front office     environment  urgent care  clinic  medical group  or physician s office  medical terminology  excellent communication and organizational skills 10 key  Keyboard/Typing  35wpmJob Clerical/AdministrativePrimary Location CA ModestoHospital/Facility Doctors Medical Center of ModestoJob Type Full timeShift Type DaysJob Number 1705040274JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""communication""/In-SK, ""skills""/In-SK, ""Typing""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
966,"Sentence[38]: ""Job Description   Clinical Support Staff   Fulltime Days  1705040274  Clinical Support Staff   Fulltime DaysDescription Reporting to Admitting Management/Clinic Director  theClinical Support I Representative must be able to work independently as well aswith resources of supervision and management"" → [""Reporting""/In-SK, ""Management""/In-SK, ""management""/In-SK]"
967,"Sentence[385]: ""Job Description   RN Recovery FT Days  1705026244  RN Recovery FT DaysDescription We are currently looking for a Registered Nurse   RN whose compassion  clinical expertise  and excellence are top priority  As an RN  you will conduct patient assessments and develop and implement nursing care plans to foster quality outcomes  You will have the opportunity to apply sound judgment  clinical expertise  and execute critical nursing interventions to all patient populations within the patient care setting Duties of the RN maybe include the following but not limited to   Assess patient s status  analyze and interpret information for intervention  Work with physicians to facilitate quality patient care   Confers with Nursing Supervisors / Director as it relates to patient care outcomes  Interacts on a continuous basis with other departments by directing activities towards positive outcomes  Establishes delivery system and utilize nursing process   Follows policies  procedures  standards for hospital Qualifications Candidates for the RN/ Registered Nurse should meet the following requirements   Hold and maintain a current state license to practice as a Registered Nurse / RN o ADN/BSNo Graduate of an Accredited School of Nursingo BLS  Required o ACLS  Preferred o PALS  Preferred   Minimum 1 3 years experience  Ability to apply sound judgment with clinical skills to ensure optimal patient care  Accepts and supports changes in work assignments as related to department and patient needs   Participates in all departmental and hospital wide educations offerings  mandatory for position along with an ongoing pursuit of Continuing Education Credits in clinical subjects  management  personal growth and development   Knowledge of relevant equipment  policies  procedures  and strategies to promote effective quality outcomes   Benefits providedo Health care / Dentalo 401 Ko Tuition Reimbursement o Student Loan Repayment o Retention Incentives  Select FacilitiesKey TermsRegistered Nurse  RN  ICU  Staff Registered Nurse  CCU  MICU  NICU  SICU  Medical Surgical Nursing  Labor and Delivery  L D  Nursery  Emergency Department  Emergency Room  Surgery  Operating Room  Nursing  Medical   Critical Care  Intensive Care Unit  Telemetry  Pediatrics  Peds  ORJob Surgical ServicesPrimary Location TN BartlettHospital/Facility Saint Francis Hospital   BartlettJob Type Full timeShift Type RotateIf other shift  specify call requiredShift begin time 7 00 AMShift end time 5 30 PMJob Number 1705026244JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""compassion""/In-SK, ""it""/In-SK, ""directing""/In-SK, ""skills""/In-SK, ""Education""/In-SK, ""management""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
968,"Sentence[14]: ""90 Participate and attend meetings  training seminars and in services to develop job knowledge"" → [""training""/In-SK]"
969,"Sentence[33]: ""Participate in the monthly  quarterly and annual performance evaluation process with their Supervisor  Respond timely to emails and telephone messages as appropriate  Communicate issues to management  including payer  system or escalated account issues"" → [""evaluation""/In-SK, ""management""/In-SK]"
970,"Sentence[59]: ""Are you ready to be part of our solutions  Welcome to the company that gives you the resources and incentives to redefine healthcare services  with a competitive benefits package and leadership to take your career to the next step  JOB SUMMARY Responsible for all aspects of billing  follow up and collection activity  ESSENTIAL DUTIES AND RESPONSIBILITIES include the following"" → [""healthcare""/In-SK, ""leadership""/In-SK, ""billing""/In-SK]"
971,"Sentence[245]: ""10 Qualifications KNOWLEDGE  SKILLS  ABILITIESTo perform this job successfully  an individual must be able to perform each essential duty satisfactorily  The requirements listed below are representative of the knowledge  skill and/or ability required  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Good written and verbal communication skillsIntermediate technical skills including PC and MS OutlookIntermediate knowledge of UB 04 and Explanation of Benefits  EOB  interpretation Intermediate knowledge of CPT and ICD 9 codesIntermediate knowledge of insurance collections and insurance terminologyEDUCATION / EXPERIENCEInclude minimum education  technical training  and/or experience preferred to perform the job High school diploma or equivalent education0 4 years experience in Medical/Hospital Insurance related collectionsPHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions WORK ENVIRONMENT The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job  Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Office/Team Work EnvironmentOTHERJob BillingPrimary Location NE OmahaJob Type Full timeShift Type DaysJob Number 1705040984JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""SKILLS""/In-SK, ""communication""/In-SK, ""skills""/In-SK, ""OutlookIntermediate""/In-SK, ""insurance""/In-SK, ""insurance""/In-SK, ""education""/In-SK, ""training""/In-SK, ""Insurance""/In-SK, ""it""/In-SK, ""healthcare""/In-SK]"
972,"Sentence[42]: ""Job Description   Patient Account Representative   Omaha  Nebraska  1705040984  Patient Account Representative   Omaha  NebraskaDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health brings 30 years of healthcare industry expertise to clients in more than 135 local regions nationwide"" → [""healthcare""/In-SK]"
973,"Sentence[75]: ""Job Description   Patient Access Rep for Full Time shifts at Fountain Valley Medical Center  1705039864  Patient Access Rep for Full Time shifts at Fountain Valley Medical CenterDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health Solutions is a leading healthcare business process management services provider working to improve operational performance for more than 700 clients so they can support financial improvement  enhance the patient experience  and drive value based performance"" → [""healthcare""/In-SK, ""business""/In-SK, ""process""/In-SK, ""management""/In-SK]"
974,"Sentence[62]: ""May experience extreme patient volumes and uncooperative Patients  MWWJob Patient AccessPrimary Location CA Fountain ValleyHospital/Facility Fountain Valley Regional Hospital and Medical CenterJob Type Full timeShift Type DaysJob Number 1705039864JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
975,"Sentence[55]: ""Job Description   Payment Representative  1705030173  Payment RepresentativeDescription As a part of the Tenet and Catholic Health Initiatives family  Conifer Health Solutions is a leading healthcare business process management services provider working to improve operational performance for more than 800 clients so they can support financial improvement  enhance the patient experience  and drive value based performance"" → [""healthcare""/In-SK, ""business""/In-SK, ""process""/In-SK, ""management""/In-SK]"
976,"Sentence[224]: ""Through our revenue cycle management  patient communications  and value based care solutions  we empower healthcare decision makers hospitals  health systems  physicians  self insured employers  and payers to better connect every point of care and wellness management  Are you ready to be part of our solutions  Welcome to the company that gives you the resources and incentives to redefine healthcare services  with a competitive benefits package and leadership to take your career to the next step JOB SUMMARYResponsible for performing the payment application functions within the Reimbursement and Cash Management team ESSENTIAL DUTIES AND RESPONSIBILITIESOthers may be assigned Performs manual and electronic posting functions for all Managed Care  Commercial and Government payors for all patient accounts  including cash balancing and reconciliation of bank deposits Maintains knowledge of insurance rejection/denial processing and appropriately posts information for collection and follow up activity Maintains daily cash log within excel tracking payment posting completion levelPost payment corrections  payment transfers  NSF s  inter facility transfers Payroll deductions and any other cash transactions for A/R accounts according to established guidelines Research and clear Unapplied Accounts  bank  MCare  MCaid  using established Identification function/process Reconciles bank and special accounts which may include  research  payment transfer or payment refund Qualifications KNOWLEDGE  SKILLS  ABILITIESTo perform this job successfully  an individual must be able to perform each essential duty satisfactorily"" → [""management""/In-SK, ""healthcare""/In-SK, ""management""/In-SK, ""healthcare""/In-SK, ""leadership""/In-SK, ""Cash""/In-SK, ""Management""/In-SK, ""cash""/In-SK, ""reconciliation""/In-SK, ""insurance""/In-SK, ""processing""/In-SK, ""cash""/In-SK, ""excel""/In-SK, ""cash""/In-SK, ""R""/In-SK, ""Research""/In-SK, ""research""/In-SK, ""SKILLS""/In-SK]"
977,"Sentence[60]: ""Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Normal office environmentJob BillingPrimary Location TX FriscoJob Type Full timeShift Type DaysJob Number 1705030173JOIN OUR TEAMQUALITY CARE DELIVERED BY COMPASSIONATE PEOPLEWe know it takes a special person to work in healthcare  and we are committed to providing our people with an enriching and rewarding environment"" → [""it""/In-SK, ""healthcare""/In-SK]"
978,"Sentence[113]: ""Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions Computer skills MS WordMS ExcelMS OutlookKnowledge of Tenet systems a plusGood interpersonal skillsStrong customer service attitude and ability to work independently as well as in a teamWell organized and attentive to detailGood math  analytical and problem solving skillsData entry and 10 key by touchEDUCATION / EXPERIENCEInclude minimum education  technical training  and/or experience required to perform the job High school diploma or equivalent2 3 years of related experience  payment posting a plusPHYSICAL DEMANDSThe physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job"" → [""skills""/In-SK, ""customer""/In-SK, ""service""/In-SK, ""attentive""/In-SK, ""analytical""/In-SK, ""problem""/In-SK, ""solving""/In-SK, ""education""/In-SK, ""training""/In-SK]"
